service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
57236,1,1,1,1,1,0,0,20230320,20230609
57068,0,1,1,1,1,0,0,20230320,20230609
52072,0,0,0,0,0,0,0,20230320,20230609
50420,0,0,0,0,0,0,0,20230320,20230609
47517,0,0,0,0,0,0,0,20230320,20230606
41262,0,0,0,0,0,0,0,20230320,20230609
15806,0,0,1,0,0,0,0,20230322,20230607
12202,0,0,0,0,0,0,1,20230319,20230604
12034,0,0,0,0,0,0,1,20230319,20230604
11692,0,0,0,0,0,1,0,20230318,20230603
9551,0,0,0,0,0,0,0,20230410,20230609
9158,0,0,0,0,0,0,0,20230322,20230607
6648,0,0,0,0,0,0,0,20230410,20230526
4996,1,1,1,1,1,0,0,20230410,20230414
