service_id,date,exception_type
57068,20230529,2
57068,20230417,1
57068,20230403,1
57068,20230320,1
57068,20230605,1
57068,20230327,1
57068,20230522,1
57068,20230508,1
57068,20230515,1
57068,20230501,1
57068,20230424,1
57068,20230410,1
52072,20230529,2
52072,20230410,2
52072,20230417,1
52072,20230403,1
52072,20230320,1
52072,20230605,1
52072,20230327,1
52072,20230522,1
52072,20230508,1
52072,20230515,1
52072,20230501,1
52072,20230424,1
52072,20230411,2
52072,20230425,1
52072,20230418,1
52072,20230404,1
52072,20230530,1
52072,20230606,1
52072,20230328,1
52072,20230523,1
52072,20230321,1
52072,20230509,1
52072,20230516,1
52072,20230502,1
52072,20230412,2
52072,20230517,1
52072,20230503,1
52072,20230510,1
52072,20230426,1
52072,20230419,1
52072,20230405,1
52072,20230531,1
52072,20230607,1
52072,20230329,1
52072,20230524,1
52072,20230322,1
52072,20230413,2
52072,20230608,1
52072,20230330,1
52072,20230525,1
52072,20230323,1
52072,20230518,1
52072,20230504,1
52072,20230511,1
52072,20230427,1
52072,20230420,1
52072,20230406,1
52072,20230601,1
52072,20230414,2
52072,20230421,1
52072,20230407,1
52072,20230602,1
52072,20230609,1
52072,20230331,1
52072,20230526,1
52072,20230324,1
52072,20230519,1
52072,20230505,1
52072,20230512,1
52072,20230428,1
50420,20230529,2
50420,20230410,2
50420,20230417,1
50420,20230403,1
50420,20230320,1
50420,20230605,1
50420,20230327,1
50420,20230522,1
50420,20230508,1
50420,20230515,1
50420,20230501,1
50420,20230424,1
50420,20230411,2
50420,20230425,1
50420,20230418,1
50420,20230404,1
50420,20230530,1
50420,20230606,1
50420,20230328,1
50420,20230523,1
50420,20230321,1
50420,20230509,1
50420,20230516,1
50420,20230502,1
50420,20230412,2
50420,20230517,1
50420,20230503,1
50420,20230510,1
50420,20230426,1
50420,20230419,1
50420,20230405,1
50420,20230531,1
50420,20230607,1
50420,20230329,1
50420,20230524,1
50420,20230322,1
50420,20230413,2
50420,20230608,1
50420,20230330,1
50420,20230525,1
50420,20230323,1
50420,20230518,1
50420,20230504,1
50420,20230511,1
50420,20230427,1
50420,20230420,1
50420,20230406,1
50420,20230601,1
50420,20230526,2
50420,20230414,2
50420,20230421,1
50420,20230407,1
50420,20230602,1
50420,20230609,1
50420,20230331,1
50420,20230324,1
50420,20230519,1
50420,20230505,1
50420,20230512,1
50420,20230428,1
47517,20230417,2
47517,20230529,2
47517,20230410,2
47517,20230403,1
47517,20230320,1
47517,20230605,1
47517,20230327,1
47517,20230522,1
47517,20230508,1
47517,20230515,1
