fare_id,route_id,origin_id,destination_id,contains_id
501,100236,1,1,
501,100239,1,1,
100,100272,1,1,
915,100340,1,1,
501,100451,1,1,
915,102638,1,1,
501,100232,1,19,
501,100232,1,21,
501,100236,1,21,
501,100239,1,21,
501,100240,1,21,
100,100272,1,21,
915,100340,1,21,
501,100451,1,21,
501,100511,1,21,
915,102638,1,21,
701,100337,1,39,
501,100236,19,1,
501,100451,19,1,
501,100511,19,1,
501,100232,19,19,
501,100236,19,19,
501,100239,19,19,
501,100240,19,19,
501,100451,19,19,
501,100511,19,19,
501,100232,19,20,
501,100239,19,21,
501,100240,19,21,
501,100240,19,40,
501,100232,20,21,
501,100232,21,1,
501,100236,21,1,
501,100239,21,1,
501,100240,21,1,
100,100272,21,1,
915,100340,21,1,
501,100451,21,1,
501,100511,21,1,
915,102638,21,1,
501,100236,21,19,
501,100239,21,19,
501,100240,21,19,
501,100451,21,19,
501,100511,21,19,
501,100232,21,21,
501,100236,21,21,
501,100239,21,21,
501,100240,21,21,
100,100272,21,21,
700,100336,21,21,
915,100340,21,21,
501,100451,21,21,
501,100511,21,21,
915,102638,21,21,
701,100337,39,1,
501,100240,40,19,
501,100240,40,40,
